Made with base sentiment function in Textblob. Contains polarity and subjectivity of text. Polarity goesfrom [-1,1] and subjectivity goes from [0,1]
On 2019-08-23, the article 'The White House has a new press secretary, remember?' has a sentiment score of Sentiment(polarity=0.08716208746450683, subjectivity=0.35608906102857724)
On 2019-08-22, the article 'Sarah Sanders becomes the latest ex-Trump official to join Fox News' has a sentiment score of Sentiment(polarity=0.04209705023658512, subjectivity=0.22142857142857142)
On 2019-08-22, the article 'Sean Spicer on 'Dancing with the Stars?' ABC staffers say 'it's a slap in the face'' has a sentiment score of Sentiment(polarity=0.09295267489711934, subjectivity=0.4459689487467266)
On 2019-08-22, the article 'Quickly catch up on the day's news' has a sentiment score of Sentiment(polarity=0.1729532372389515, subjectivity=0.390813947956805)
On 2019-08-21, the article 'Bernie Sanders introduces labor plan to broaden union power' has a sentiment score of Sentiment(polarity=0.09080742489833399, subjectivity=0.3508687020050656)
On 2019-08-21, the article 'Parkland dad to Bernie Sanders over past gun views: 'Your votes and what you've done are still there'' has a sentiment score of Sentiment(polarity=0.03299447678758024, subjectivity=0.33906851768920737)
On 2019-08-21, the article 'Bernie Sanders jabs Trump over comments about Jewish loyalty' has a sentiment score of Sentiment(polarity=0.09096174096174096, subjectivity=0.3975488475488477)
On 2019-08-20, the article 'Katharine Gorka steps down as Customs and Border Protection press secretary after two months' has a sentiment score of Sentiment(polarity=0.05833333333333333, subjectivity=0.282070707070707)
On 2019-08-19, the article 'A 12-year-old boy raised $15,000 at a county fair's pig auction. Then he gave it to St. Jude.' has a sentiment score of Sentiment(polarity=0.33320105820105816, subjectivity=0.4766941391941393)
On 2019-08-19, the article 'Bernie Sanders wants to stop police from using facial recognition software' has a sentiment score of Sentiment(polarity=0.04780564263322883, subjectivity=0.3433908045977011)
On 2019-08-16, the article 'How Jeff Bezos changed the world' has a sentiment score of Sentiment(polarity=0.14191947375541122, subjectivity=0.47990022997835496)
On 2019-08-15, the article 'John Hickenlooper ends 2020 presidential campaign, nods at potential Senate bid' has a sentiment score of Sentiment(polarity=0.10071105794790007, subjectivity=0.4042610313662946)
On 2019-08-15, the article 'The 'dark side' of Finland's famous free health care' has a sentiment score of Sentiment(polarity=0.0810341898245124, subjectivity=0.4300040729879439)
On 2019-08-14, the article 'Bernie Sanders isn't sorry' has a sentiment score of Sentiment(polarity=0.06895415190869736, subjectivity=0.4493186737504919)
On 2013-08-06, the article 'Mike Huckabee Fast Facts' has a sentiment score of Sentiment(polarity=0.1338580611307884, subjectivity=0.316082906991998)
On 2019-08-14, the article 'Inside The New York Times as it debates its coverage of Trump and racism' has a sentiment score of Sentiment(polarity=0.14632704292044948, subjectivity=0.4232176065692549)
On 2019-08-14, the article 'Cardi B and Bernie Sanders talk jobs, wages and the economy' has a sentiment score of Sentiment(polarity=0.15737373737373736, subjectivity=0.5780050505050507)
On 2019-08-13, the article 'Bernie Sanders tones down criticism of Washington Post but expresses frustration with campaign coverage' has a sentiment score of Sentiment(polarity=0.15028679653679652, subjectivity=0.45783175158175154)
On 2019-08-13, the article 'Bernie Sanders should know better than this ridiculous attack on The Washington Post' has a sentiment score of Sentiment(polarity=0.026487111373474995, subjectivity=0.4502423586514496)
On 2019-08-13, the article 'Washington Post editor responds to Bernie Sanders: Your 'conspiracy theory' is wrong' has a sentiment score of Sentiment(polarity=0.08518398268398267, subjectivity=0.43152056277056283)
On 2019-08-12, the article 'Sarah Silverman says she was fired from a movie for an old blackface sketch' has a sentiment score of Sentiment(polarity=0.04820105820105821, subjectivity=0.4720400895400895)
On 2019-08-09, the article 'Fact check: Bernie Sanders has made the same false claim about health spending for 10 years' has a sentiment score of Sentiment(polarity=0.030833333333333327, subjectivity=0.3506084656084656)
On 2019-08-09, the article 'Bernie Sanders says that if he's elected, he'll reveal whether aliens are real' has a sentiment score of Sentiment(polarity=0.23000000000000004, subjectivity=0.4600000000000001)
On 2019-08-08, the article 'Acting Homeland Security chief McAleenan was prepared to resign in June, felt undermined by subordinates' has a sentiment score of Sentiment(polarity=0.07820757801226551, subjectivity=0.317998060966811)
On 2019-08-07, the article 'Marianne Williamson wants up to $500 billion for reparations plan' has a sentiment score of Sentiment(polarity=0.019267676767676774, subjectivity=0.34237373737373733)
On 2019-08-05, the article 'The El Paso shooting suspect showed no remorse or regret, police say' has a sentiment score of Sentiment(polarity=-0.003830964632851408, subjectivity=0.4735044515233195)
On 2019-08-03, the article 'What we know about the shooting in El Paso, Texas' has a sentiment score of Sentiment(polarity=0.0017894857667584937, subjectivity=0.33494432966023874)
On 2019-08-02, the article 'Ben & Jerry's founders create new ice cream flavor in honor of Bernie Sanders' has a sentiment score of Sentiment(polarity=0.17603844568130284, subjectivity=0.463320707070707)
On 2019-08-02, the article 'Sen. Kirsten Gillibrand introduces new legislation that would provide asylum seekers with attorney' has a sentiment score of Sentiment(polarity=0.11388423404552436, subjectivity=0.42871805613741104)
On 2019-08-01, the article 'When did Barack Obama become a Republican?' has a sentiment score of Sentiment(polarity=0.10235614680304947, subjectivity=0.48382867869593527)
On 2019-07-31, the article 'Bernie Sanders raises $1.1 million following debate' has a sentiment score of Sentiment(polarity=0.12916666666666665, subjectivity=0.5444444444444444)
On 2019-07-31, the article 'Trump admin opens door to allow drug importation from Canada' has a sentiment score of Sentiment(polarity=0.130527950310559, subjectivity=0.4475744545309762)
On 2019-07-31, the article 'Late night goes live to make fun of the second Democratic presidential debate' has a sentiment score of Sentiment(polarity=0.1395076304167213, subjectivity=0.4397065897065897)
On 2019-07-31, the article 'Health care explained: Medicare for All vs public option vs the ACA' has a sentiment score of Sentiment(polarity=0.14189570119802677, subjectivity=0.40441331923890056)
On 2019-07-30, the article 'Bernie Sanders: As a child, rent control kept a roof over my head' has a sentiment score of Sentiment(polarity=0.10674025974025976, subjectivity=0.4458460798460798)
On 2019-07-30, the article '5 things to know for July 30: Capital One, Gilroy victims, Pakistan, Italy stabbing' has a sentiment score of Sentiment(polarity=0.020340909090909083, subjectivity=0.3176839826839826)
On 2019-07-29, the article 'Cardi B joins Bernie Sanders for campaign video and talks student debt, climate change and the minimum wage' has a sentiment score of Sentiment(polarity=0.1105866414908968, subjectivity=0.40121711031285495)
On 2019-07-29, the article 'Rich investors may have let a hospital go bankrupt. Now, they could profit from the land' has a sentiment score of Sentiment(polarity=0.0665477961030108, subjectivity=0.33126353367150907)
On 2019-07-28, the article 'Bernie Sanders leads caravan into Canada to purchase cheaper insulin with American prices rising' has a sentiment score of Sentiment(polarity=0.046829004329004324, subjectivity=0.35887445887445885)
On 2019-07-28, the article 'Bernie Sanders: 'It's unbelievable' Trump 'attacks American cities'' has a sentiment score of Sentiment(polarity=-0.08522093522093518, subjectivity=0.45561990561990573)
On 2019-07-26, the article 'Canada to Bernie Sanders: Don't take our drugs home' has a sentiment score of Sentiment(polarity=0.10194444444444448, subjectivity=0.40337962962962964)
On 2013-10-29, the article 'North Korea Fast Facts' has a sentiment score of Sentiment(polarity=0.008065025252525254, subjectivity=0.29854097558424475)
On 2019-07-23, the article 'Bernie Sanders says campaign has reached agreement with staffers for higher pay' has a sentiment score of Sentiment(polarity=0.1516105499438833, subjectivity=0.39429854096520756)
On 2013-01-18, the article 'Julian Assange Fast Facts' has a sentiment score of Sentiment(polarity=0.03683569719753932, subjectivity=0.30005696058327636)
On 2019-07-22, the article 'Eating a plant-based diet might help prevent type 2 diabetes, study suggests' has a sentiment score of Sentiment(polarity=0.1907255655142979, subjectivity=0.4461925633052392)
On 2019-07-19, the article 'Bernie Sanders defends unionized staffers' salaries amid clash with campaign over guarantee of $15 an hour' has a sentiment score of Sentiment(polarity=0.048412698412698414, subjectivity=0.4644078144078144)
On 2019-07-19, the article 'HBO is king, women rule comedy and other takeaways from this year's Emmy nominations' has a sentiment score of Sentiment(polarity=0.2640648240648241, subjectivity=0.4904256854256853)
On 2019-07-19, the article 'Ilhan Omar at town hall: Trump 'is threatened because we are inspiring people to dream'' has a sentiment score of Sentiment(polarity=0.21780753968253969, subjectivity=0.5326719576719577)
On 2019-07-18, the article 'The 51 most outrageous lines from Donald Trump's repugnant North Carolina rally' has a sentiment score of Sentiment(polarity=0.11864048608201837, subjectivity=0.5488245124051576)
On 2019-07-18, the article 'Bernie Sanders to return donations that violate pledge on private insurance and pharma money' has a sentiment score of Sentiment(polarity=0.08703703703703705, subjectivity=0.36759259259259264)
On 2019-07-16, the article ''Sir' alert: This one word is a telltale sign Trump is being dishonest' has a sentiment score of Sentiment(polarity=0.055936375830742034, subjectivity=0.4083079283783508)
On 2019-07-17, the article 'Trump invents fake emergencies. Congress should declare a real one on climate' has a sentiment score of Sentiment(polarity=0.05387377173091459, subjectivity=0.44013605442176873)
On 2019-07-16, the article 'Democrats and Republicans find unity in trashing Big Tech' has a sentiment score of Sentiment(polarity=0.05957015207015208, subjectivity=0.48960319751604153)
On 2019-07-14, the article 'Bernie Sanders: Nancy Pelosi shouldn't 'alienate' freshmen House Democrats' has a sentiment score of Sentiment(polarity=0.09728140782828283, subjectivity=0.4153882575757576)
On 2019-07-11, the article 'Bernie Sanders once said the Democratic Party couldn't be turned around. Now he's a top candidate seeking its nomination.' has a sentiment score of Sentiment(polarity=0.15680543530543536, subjectivity=0.4621098284431617)
On 2019-07-11, the article 'Bernie Sanders to join people with type 1 diabetes on Canada trip for cheaper insulin' has a sentiment score of Sentiment(polarity=0.06121144480519481, subjectivity=0.3727430555555556)
On 2019-07-11, the article 'EXCLUSIVE: John Sanders on why he left after two and a half months as acting CBP commissioner' has a sentiment score of Sentiment(polarity=0.08911860540892799, subjectivity=0.3416841805148256)
On 2019-07-10, the article ''We welcome their hate': Bernie Sanders unveils 'anti-endorsement' list' has a sentiment score of Sentiment(polarity=0.16996177581283964, subjectivity=0.38557842866353514)
On 2019-07-10, the article 'How Iowa and Nevada will host virtual caucuses in 2020' has a sentiment score of Sentiment(polarity=0.0630551547218214, subjectivity=0.4123107492155112)
